location_id,city,neighbourhood,country,region,type,expected_class,lat,lon
1,Delhi,Connaught Place,India,Delhi-NCR,A,High,28.6314022,77.2193791
2,Delhi,Chandni Chowk Core,India,Delhi-NCR,A,High,28.6559834,77.2321937
3,Delhi,Lajpat Nagar Market,India,Delhi-NCR,A,High,28.5628874,77.2378129
4,Delhi,Khan Market,India,Delhi-NCR,A,High,28.5995141,77.2259785
5,Delhi,Karol Bagh Market,India,Delhi-NCR,A,High,28.6578827,77.1888491
6,Delhi,Sarojini Nagar Market,India,Delhi-NCR,A,High,28.5769159,77.1962566
7,Delhi,Greater Kailash I M Block Market,India,Delhi-NCR,A,High,28.5512676,77.2360199
8,Delhi,Sector 29 Gurugram,India,Delhi-NCR,A,High,28.5307687,77.1045037
9,Delhi,Laxmi Nagar Metro Market,India,Delhi-NCR,A,High,28.630589,77.2775017
10,Delhi,Kamla Nagar Market,India,Delhi-NCR,A,High,28.6806752,77.2039504
11,Delhi,Majnu Ka Tilla,India,Delhi-NCR,A,High,28.704335,77.224494
12,Delhi,Hauz Khas Village,India,Delhi-NCR,A,High,28.5533674,77.194849
13,Delhi,Daryaganj Book Market,India,Delhi-NCR,A,High,28.6404111,77.2367421
14,Delhi,Paharganj Main Bazar,India,Delhi-NCR,A,High,28.6411183,77.2155875
15,Delhi,Jama Masjid Area,India,Delhi-NCR,A,High,28.6506822,77.232961
16,Delhi,Nehru Place IT Market,India,Delhi-NCR,B,Medium,28.5492574,77.2529526
17,Delhi,Rohini Sector 10 Market,India,Delhi-NCR,B,Medium,28.7194201,77.1096302
18,Delhi,Preet Vihar Market,India,Delhi-NCR,B,Medium,28.6414409,77.2952594
19,Delhi,Rajouri Garden Main Market,India,Delhi-NCR,B,Medium,28.6511896,77.1242597
20,Delhi,Mayur Vihar Phase 1 Market,India,Delhi-NCR,B,Medium,28.6035543,77.2899208
21,Delhi,Janakpuri District Centre,India,Delhi-NCR,B,Medium,28.6326959,77.0809844
22,Delhi,Green Park Extension,India,Delhi-NCR,B,Medium,28.5607037,77.2036565
23,Delhi,Sohna Road Gurugram,India,Delhi-NCR,B,Medium,28.3605233,77.0783684
24,Delhi,IFFCO Chowk Gurugram,India,Delhi-NCR,B,Medium,28.47919,77.0704879
25,Delhi,Noida Sector 18 Market,India,Delhi-NCR,B,Medium,28.617251,77.2805705
26,Delhi,Faridabad Sector 16 Market,India,Delhi-NCR,B,Medium,28.5009826,77.3155004
27,Delhi,Pitampura TV Tower Market,India,Delhi-NCR,B,Medium,28.6972615,77.1503292
28,Delhi,Dilshad Garden Market,India,Delhi-NCR,B,Medium,28.6758864,77.321446
29,Delhi,Kalkaji Market,India,Delhi-NCR,B,Medium,28.5475095,77.2511406
30,Delhi,Ghaziabad Vaishali Market,India,Delhi-NCR,B,Medium,28.6436405,77.3246349
31,Delhi,Dwarka Sector 10,India,Delhi-NCR,C,Low,28.5810577,77.0574996
32,Delhi,Vasant Kunj Residential,India,Delhi-NCR,C,Low,28.5292495,77.1541335
33,Delhi,Pitampura Residential,India,Delhi-NCR,C,Low,28.7032676,77.1322497
34,Delhi,Naraina Industrial Area,India,Delhi-NCR,C,Low,28.6305879,77.129781
35,Delhi,Okhla Industrial Area Phase II,India,Delhi-NCR,C,Low,28.5475409,77.2828271
36,Delhi,DLF Cyber City Gurugram,India,Delhi-NCR,C,Low,28.4979218,77.0886929
37,Delhi,Noida Sector 62 IT Park,India,Delhi-NCR,C,Low,28.617251,77.2805705
38,Delhi,Noida Sector 12 Residential,India,Delhi-NCR,C,Low,28.6336139,77.2234769
39,Delhi,Vivek Vihar Residential,India,Delhi-NCR,C,Low,28.6670043,77.3076334
40,Delhi,Paschim Vihar Residential,India,Delhi-NCR,C,Low,28.6695782,77.095956
41,Delhi,Gurugram DLF Phase 1,India,Delhi-NCR,C,Low,28.5307687,77.1045037
42,Delhi,Greater Noida Sector Gamma 1,India,Delhi-NCR,C,Low,28.6138954,77.2090057
43,Delhi,Manesar Industrial Hub,India,Delhi-NCR,C,Low,28.3083078,76.8958358
44,Delhi,Bahadurgarh Industrial Area,India,Delhi-NCR,C,Low,28.6609702,77.21241
45,Delhi,Faridabad NIT Residential,India,Delhi-NCR,C,Low,28.5009826,77.3155004
46,Mumbai,Bandra West Linking Road,India,Maharashtra,A,High,19.065927,72.8343804
47,Mumbai,Colaba Causeway,India,Maharashtra,A,High,18.9207936,72.8305795
48,Mumbai,Fort Business District,India,Maharashtra,A,High,18.9219661,72.8345657
49,Mumbai,Dadar TT Circle,India,Maharashtra,A,High,19.0178314,72.8478234
50,Mumbai,Dharavi Mixed Use,India,Maharashtra,A,High,19.044463,72.8586177
51,Mumbai,Juhu Beach Road,India,Maharashtra,A,High,19.0958753,72.828165
52,Mumbai,Grant Road Station Area,India,Maharashtra,A,High,18.9632181,72.8180437
53,Mumbai,Santacruz West Market,India,Maharashtra,A,High,19.0844004,72.8372899
54,Mumbai,Mulund West Market,India,Maharashtra,A,High,19.1724153,72.9561862
55,Mumbai,Borivali West Station Road,India,Maharashtra,A,High,19.2313925,72.8408607
56,Mumbai,Andheri East MIDC Market,India,Maharashtra,A,High,19.1080912,72.8565252
57,Mumbai,Malad West Inorbit Area,India,Maharashtra,A,High,19.1852851,72.8358611
58,Mumbai,Andheri West Market,India,Maharashtra,B,Medium,19.1172495,72.833968
59,Mumbai,Powai Hiranandani,India,Maharashtra,B,Medium,19.1191245,72.9136382
60,Mumbai,Kurla LTT Area,India,Maharashtra,B,Medium,19.0652797,72.8793805
61,Mumbai,Thane Station Area,India,Maharashtra,B,Medium,19.1537083,72.9994438
62,Mumbai,Navi Mumbai Vashi Sector 17,India,Maharashtra,B,Medium,19.0711269,72.9954715
63,Mumbai,Khar West Market,India,Maharashtra,B,Medium,19.0624737,72.8282577
64,Mumbai,Chembur Camp Area,India,Maharashtra,B,Medium,19.054818,72.8979713
65,Mumbai,Ghatkopar West Market,India,Maharashtra,B,Medium,19.0862867,72.9056834
66,Mumbai,Matunga East Market,India,Maharashtra,B,Medium,19.0261579,72.8520846
67,Mumbai,Navi Mumbai Nerul Sector 19,India,Maharashtra,B,Medium,19.0260113,73.0101671
68,Mumbai,Bhiwandi Market,India,Maharashtra,B,Medium,19.054999,72.8692035
69,Mumbai,Vasai East Market,India,Maharashtra,B,Medium,19.3509804,72.8934705
70,Mumbai,BKC Business District,India,Maharashtra,C,Low,19.0677245,72.8648464
71,Mumbai,Borivali East Residential,India,Maharashtra,C,Low,19.2187187,72.8654856
72,Mumbai,Malabar Hill Residential,India,Maharashtra,C,Low,18.9581616,72.8033665
73,Mumbai,Goregaon Film City Area,India,Maharashtra,C,Low,19.1648688,72.8495492
74,Mumbai,Powai Residential Sector,India,Maharashtra,C,Low,19.1187195,72.9073476
75,Mumbai,Navi Mumbai Belapur CBD,India,Maharashtra,C,Low,19.0230025,73.0393601
76,Mumbai,Thane Wagle Industrial Estate,India,Maharashtra,C,Low,19.1131271,72.962701
77,Mumbai,Vikhroli Industrial Park,India,Maharashtra,C,Low,19.1348551,72.8743383
78,Mumbai,Airoli TTC Industrial,India,Maharashtra,C,Low,19.1585147,72.9994019
79,Mumbai,Chandivali IT Park,India,Maharashtra,C,Low,19.1091482,72.8945793
80,Mumbai,Kharghar Residential Sector 12,India,Maharashtra,C,Low,19.025773,73.0591845
81,Mumbai,Mira Road Residential,India,Maharashtra,C,Low,19.1878962,72.8365955
82,Mumbai,Dombivli East Residential,India,Maharashtra,C,Low,19.054999,72.8692035
83,Mumbai,Ulwe Residential Navi Mumbai,India,Maharashtra,C,Low,19.054999,72.8692035
84,Bengaluru,Indiranagar 100 Feet Road,India,Karnataka,A,High,12.9815418,77.6410162
85,Bengaluru,Koramangala 5th Block,India,Karnataka,A,High,12.9348429,77.6189768
86,Bengaluru,Church Street,India,Karnataka,A,High,12.9734314,77.6517971
87,Bengaluru,Brigade Road,India,Karnataka,A,High,12.9673497,77.6064374
88,Bengaluru,Jayanagar 4th Block,India,Karnataka,A,High,12.9265737,77.5835041
89,Bengaluru,Malleshwaram 15th Cross,India,Karnataka,A,High,13.0050199,77.5711666
90,Bengaluru,Commercial Street,India,Karnataka,A,High,12.9822157,77.6082513
91,Bengaluru,Basavanagudi Gandhi Bazaar,India,Karnataka,A,High,12.9506158,77.5736394
92,Bengaluru,Shivajinagar Market,India,Karnataka,A,High,12.9832825,77.6100382
93,Bengaluru,Frazer Town Mixed Area,India,Karnataka,A,High,12.9975851,77.6136744
94,Bengaluru,Rajajinagar Market,India,Karnataka,A,High,13.0005359,77.5496996
95,Bengaluru,Ulsoor Lake Area,India,Karnataka,A,High,12.9823891,77.6191669
